900,204,892,100
901,554,501,47
902,820,488,699
903,269,164,212
904,469,711,808
905,282,519,85
906,203,193,741
907,828,479,140
908,219,72,928
909,832,809,232
910,789,959,679
911,211,554,766
912,721,734,615
913,637,205,955
914,450,787,20
915,883,243,122
916,590,228,57
917,466,739,322
918,49,495,623
919,44,292,898
920,685,234,968
921,813,995,123
922,957,651,775
923,557,7,456
924,236,719,7
925,562,560,478
926,87,700,169
927,634,532,272
928,562,707,193
929,406,425,879
930,296,551,0
931,467,439,984
932,480,742,137
933,663,42,386
934,6,353,760
935,443,188,898
936,995,284,394
937,815,164,689
938,393,174,136
939,847,154,709
940,938,242,547
941,84,134,647
942,79,517,172
943,808,78,406
944,398,607,985
945,337,752,694
946,758,148,416
947,982,567,453
948,170,581,415
949,236,940,937
950,253,54,0
951,32,891,88
952,41,928,952
953,804,149,753
954,584,170,249
955,416,53,255
956,433,47,928
957,308,159,321
958,655,731,692
959,672,43,633
960,206,587,263
961,499,559,97
962,62,479,713
963,799,788,24
964,380,869,554
965,349,950,256
966,628,613,947
967,98,548,750
968,904,481,415
969,20,993,783
970,824,374,38
971,752,315,283
972,779,98,633
973,307,989,10
974,409,396,249
975,566,783,684
976,344,283,449
977,786,318,688
978,8,387,53
979,92,743,122
980,2,748,534
981,78,554,603
982,362,215,669
983,359,428,986
984,589,942,285
985,927,285,501
986,352,271,95
987,302,382,851
988,960,529,113
989,204,957,174
990,356,587,783
991,131,634,786
992,462,371,466
993,255,147,452
994,529,562,525
995,158,156,239
996,226,38,39
997,974,288,164
998,313,935,681
999,995,239,989
1000,218,235,703
1001,460,7,26
1002,330,951,695
1003,657,286,645
1004,268,266,800
1005,372,206,317
1006,368,217,127
1007,69,880,989
1008,140,414,604
1009,890,652,805
1010,243,941,334
1011,474,478,401
1012,575,128,18
1013,788,318,988
1014,22,173,490
1015,726,442,526
1016,27,870,839
1017,86,769,602
1018,174,225,503
1019,945,597,943
1020,112,885,603
1021,39,747,85
1022,791,966,974
1023,414,155,558
1024,530,77,613
1025,548,200,10
1026,595,880,11
1027,602,560,696
1028,73,824,664
1029,596,905,540
1030,369,159,69
1031,770,910,688
1032,18,890,957
1033,719,221,0
