70,104,725,248
71,321,800,258
72,543,704,184
73,963,765,162
74,710,274,924
75,894,670,545
76,656,644,274
77,59,48,848
78,225,953,95
79,862,506,162
80,125,556,543
81,875,627,181
82,979,783,395
83,11,35,48
84,914,964,822
85,302,447,713
86,137,364,329
1400,398,634,853
1401,611,955,932
1402,66,637,485
1403,637,653,974
1404,295,454,484
1405,217,855,466
1406,874,651,710
1407,855,308,227
1408,127,989,514
1409,664,213,921
1410,997,917,511
1411,769,59,600
1412,296,555,768
1413,687,33,688
1414,968,506,536
1415,4,423,141
1416,229,348,613
1417,275,147,844
